,Name,Latitude,Longitude,accessibility_w,accessibility_h,Accessibility,colour
447,Hayes 0232,51.5068389,-0.4184289,WheelchairAccess,None,Wheelchair Only,#003FF6
448,Southampton 1296,51.09042494,-1.16144545,WheelchairAccess,InductionLoop,Both,#27AE60
449,Langley 1465,51.5037776,-0.5418444,WheelchairAccess,InductionLoop,Both,#27AE60
450,Darlington 0867,54.52602703,-1.5557743,None,None,None,#E74C3C
451,Wilmslow 1427,53.3267631,-2.2313277,WheelchairAccess,InductionLoop,Both,#27AE60
452,Hanley 0595,53.02597564,-2.17399757,None,None,None,#E74C3C
453,Windsor 0304,51.48086714,-0.61082645,WheelchairAccess,InductionLoop,Both,#27AE60
454,Chippenham 0499,51.45833848,-2.11459391,WheelchairAccess,InductionLoop,Both,#27AE60
455,Scarborough 0822,54.2806315,-0.4044498,WheelchairAccess,InductionLoop,Both,#27AE60
456,Reading 0353,51.4558327,-0.9735896,WheelchairAccess,InductionLoop,Both,#27AE60
457,Ashton-In-Makerfield 0777,53.4861657,-2.6376406,None,InductionLoop,InductionLoop Only,#FA8406
458,Ely 0555,52.39951073,0.26565974,None,InductionLoop,InductionLoop Only,#FA8406
459,East Kilbride 0910,55.7607313,-4.1771013,WheelchairAccess,InductionLoop,Both,#27AE60
460,Forfar 0929,56.64535037,-2.88870388,WheelchairAccess,None,Wheelchair Only,#003FF6
461,Bracknell 0360,51.4167199,-0.7503408,WheelchairAccess,None,Wheelchair Only,#003FF6
462,Bromsgrove 0521,52.334572,-2.061049,WheelchairAccess,InductionLoop,Both,#27AE60
463,Warminster 0687,51.20429613,-2.17925953,None,InductionLoop,InductionLoop Only,#FA8406
464,Ramsgate 0280,51.33454064,1.41808636,None,InductionLoop,InductionLoop Only,#FA8406
465,Sawbridgeworth 1475,51.81236858,0.15129547,WheelchairAccess,InductionLoop,Both,#27AE60
466,Grimsby 0816,53.5656359,-0.0848915,WheelchairAccess,InductionLoop,Both,#27AE60
467,Harrow 0295,51.59466995,-0.33501331,WheelchairAccess,InductionLoop,Both,#27AE60
468,Paddock Wood 1188,51.18038832,0.38827322,WheelchairAccess,InductionLoop,Both,#27AE60
469,Kingston upon Thames 0256,51.41003833,-0.30272148,None,None,None,#E74C3C
470,Stockport 0788,53.41082811,-2.15879913,WheelchairAccess,None,Wheelchair Only,#003FF6
471,Tonbridge 0284,51.19427536,0.27404925,None,InductionLoop,InductionLoop Only,#FA8406
472,Cheshunt 0890,51.70138754,-0.03479466,WheelchairAccess,InductionLoop,Both,#27AE60
473,Newtownards 0945,54.59279201,-5.69373764,WheelchairAccess,InductionLoop,Both,#27AE60
474,Romford 0202,51.5767838,0.1810426,None,None,None,#E74C3C
475,Chelmsford 0227,51.73204525,0.47464616,WheelchairAccess,None,Wheelchair Only,#003FF6
476,Bow 0635,51.5331909,-0.0296864,None,None,None,#E74C3C
477,Altrincham 0706,53.3873692,-2.3496987,WheelchairAccess,InductionLoop,Both,#27AE60
478,Dudley 0519,52.50945555,-2.08420765,WheelchairAccess,InductionLoop,Both,#27AE60
479,Hamilton 0917,55.7750386,-4.0348355,WheelchairAccess,InductionLoop,Both,#27AE60
480,Bridgnorth 1091,52.5357436,-2.4195773,None,InductionLoop,InductionLoop Only,#FA8406
481,Hoddesdon 0895,51.759027,-0.0121186,None,InductionLoop,InductionLoop Only,#FA8406
482,Montrose 0924,56.7125165,-2.46853066,WheelchairAccess,None,Wheelchair Only,#003FF6
483,Crawley 0376,51.11613487,-0.18570564,WheelchairAccess,InductionLoop,Both,#27AE60
484,Leyton 0636,51.57593138,-0.01244075,WheelchairAccess,InductionLoop,Both,#27AE60
485,Uxbridge 0203,51.5461542,-0.4798624,WheelchairAccess,InductionLoop,Both,#27AE60
486,Lewes 0313,50.87270463,0.00986509,WheelchairAccess,InductionLoop,Both,#27AE60
487,Uckfield 1343,50.97121111,0.09625269,None,InductionLoop,InductionLoop Only,#FA8406
488,Knutsford 1211,53.30395201,-2.3724862,None,InductionLoop,InductionLoop Only,#FA8406
489,Dundee 0934,56.46182289,-2.97136612,WheelchairAccess,None,Wheelchair Only,#003FF6
490,Milton Keynes 0658,52.0435148,-0.7571361,WheelchairAccess,InductionLoop,Both,#27AE60
491,Torquay 0496,50.4664931,-3.5290579,None,InductionLoop,InductionLoop Only,#FA8406
492,Swaffham 1405,52.6484605,0.6877409,WheelchairAccess,InductionLoop,Both,#27AE60
493,Chester-Le-Street 0831,54.85813627,-1.57388337,WheelchairAccess,InductionLoop,Both,#27AE60
494,Sale 0714,53.4243813,-2.3233163,WheelchairAccess,InductionLoop,Both,#27AE60
495,Haverfordwest 0407,51.80225771,-4.96787264,None,InductionLoop,InductionLoop Only,#FA8406
496,Portadown 0953,54.42286998,-6.44284054,WheelchairAccess,None,Wheelchair Only,#003FF6
497,Sunderland 0819,54.90587865,-1.3824512,None,InductionLoop,InductionLoop Only,#FA8406
498,Solihull 0502,52.41421977,-1.77989351,WheelchairAccess,None,Wheelchair Only,#003FF6
499,Accrington 1183,53.75342068,-2.3666089,WheelchairAccess,InductionLoop,Both,#27AE60
500,Aberdare 0732,51.71270559,-3.44373933,None,None,None,#E74C3C
501,Goring 1210,50.81347902,-0.40349904,WheelchairAccess,InductionLoop,Both,#27AE60
502,Galashiels 0923,55.6164965,-2.8069361,WheelchairAccess,InductionLoop,Both,#27AE60
