,Name,Latitude,Longitude,accessibility_0,accessibility_1,Accessibility,colour
229,"Hull, Jameson Street",53.744881,-0.342618,WheelchairAccess,AudioCashMachine,Both,#27AE60
230,"Gloucester, The Cross",51.865559,-2.245763,WheelchairAccess,AudioCashMachine,Both,#27AE60
231,Stroud,51.74535,-2.218141,WheelchairAccess,AudioCashMachine,Both,#27AE60
232,Altrincham,53.386696,-2.34882,WheelchairAccess,AudioCashMachine,Both,#27AE60
233,"Bolton, Victoria Square",53.57872,-2.429434,WheelchairAccess,AudioCashMachine,Both,#27AE60
234,"Manchester, Chorlton-Cum-Hardy",53.442295,-2.277284,WheelchairAccess,AudioCashMachine,Both,#27AE60
235,"Manchester, Trafford Park",53.46669,-2.3151102,WheelchairAccess,AudioCashMachine,Both,#27AE60
236,"York, Parliament St",53.958887,-1.081433,WheelchairAccess,AudioCashMachine,Both,#27AE60
237,Northallerton,54.339195,-1.434376,WheelchairAccess,AudioCashMachine,Both,#27AE60
238,Thirsk,54.233257,-1.341537,WheelchairAccess,AudioCashMachine,Both,#27AE60
239,Rugby,52.373177,-1.260558,WheelchairAccess,AudioCashMachine,Both,#27AE60
240,Abingdon,51.669979,-1.282277,WheelchairAccess,None,Wheelchair Only,#003FF6
241,Didcot,51.606567,-1.243111,WheelchairAccess,AudioCashMachine,Both,#27AE60
242,Tewkesbury,51.993488,-2.157449,WheelchairAccess,AudioCashMachine,Both,#27AE60
243,Llandudno,53.324051,-3.830003,WheelchairAccess,AudioCashMachine,Both,#27AE60
244,Kingston Eden Street,51.410065,-0.302056,WheelchairAccess,AudioCashMachine,Both,#27AE60
245,Chiswick,51.4925,-0.267088,WheelchairAccess,AudioCashMachine,Both,#27AE60
246,Ealing Broadway,51.513714,-0.302298,WheelchairAccess,AudioCashMachine,Both,#27AE60
247,Golders Green,51.572022,-0.195786,None,None,None,#E74C3C
248,Hammersmith,51.492874,-0.226391,WheelchairAccess,AudioCashMachine,Both,#27AE60
249,Kilburn,51.537697,-0.192682,WheelchairAccess,AudioCashMachine,Both,#27AE60
250,Kingsbury,51.585674,-0.277792,WheelchairAccess,AudioCashMachine,Both,#27AE60
251,Notting Hill Gate,51.509148,-0.194634,WheelchairAccess,AudioCashMachine,Both,#27AE60
252,Putney,51.460517,-0.215014,WheelchairAccess,AudioCashMachine,Both,#27AE60
253,Fulham Broadway,51.480228,-0.19749,WheelchairAccess,AudioCashMachine,Both,#27AE60
254,Wandsworth,51.456578,-0.192612,WheelchairAccess,AudioCashMachine,Both,#27AE60
